Area,Leanguage,corn ,Avocado,Pumpkin,beans ,Value
European Languages,Spanish,maíz ,aguacate ,Calabaza ,frijoles ,1
European Languages,Swedish,majs ,avokado ,pumpa ,bönor ,1
European Languages,Ukrainian,кукурудза ,авокадо ,гарбуз ,боби ,1
European Languages,Welsh,corn ,afocado ,pwmpen ,ffa ,1
European Languages,Yiddish,קוקורוזע ,אַוואָקאַדאָ ,קירבעס ,בינז ,1
Asian Language,Armenian,եգիպտացորեն ,ավոկադո ,դդում ,լոբի ,1
Asian Language,Azerbaijani,qarğıdalı ,avokado ,balqabaq ,lobya ,1
Asian Language,Bengali,ভূট্টা ,আভাকাডো ,কুমড়া ,মটরশুটি ,1
Asian Language,Chinese Simplified,玉米 ,鳄梨 ,南瓜 ,豆子 ,1
Asian Language,Chinese Traditional,玉米 ,鱷梨 ,南瓜 ,豆 ,1
Asian Language,Georgian,სიმინდის ,avocado ,გოგრა ,ლობიო ,1
Asian Language,Gujarati,મકાઈ ,એવોકાડો ,કોળું ,બીજ ,1
Asian Language,Hindi,मक्का ,एवोकाडो ,कद्दू ,फलियां ,1
Asian Language,Hmong,pob kws ,avocado ,taub dag ,taum ,1
Asian Language,Japanese,トウモロコシ ,アボカド ,パンプキン ,豆 ,1
Asian Language,Kannada,ಕಾರ್ನ್ ,ಆವಕಾಡೊ ,ಕುಂಬಳಕಾಯಿ ,ಬೀನ್ಸ್ ,1
Asian Language,Kazakh,дән ,авокадо ,асқабақ ,атбас бұршақтар ,1
Asian Language,Khmer,ពោត ,ផ្លែ​បឺ​រ ,ល្ពៅ ,ស​ណ្តែ​ក ,1
Asian Language,Korean,옥수수 ,아보카도 ,호박 ,콩 ,1
Asian Language,Lao,ສາ​ລີ ,ອະ​ໂວ​ຄາ​ໂດ ,ຜັກ ,"ຖົ່ວ​ເຫຼືອງ​, ຖົ່ວ ",1
Asian Language,Malayalam,ചോളം ,അവോക്കാഡോ ,മത്തങ്ങ ,പയർ ,1
Asian Language,Marathi,धान्य ,"avocado, ",भोपळा ,सोयाबीनचे ,1
Asian Language,Mongolian,эрдэнэ шиш ,ногооны салат ,хулуу ,шош ,1
Asian Language,Myanmar (Burmese),ပြောင်းဖူး ,ထောပတ်သီး ,ရှေဖရုံသီး ,ပဲ ,1
Asian Language,Nepali,मकै ,avocado ,चांद ,सिमी ,1
Asian Language,Sinhala,ඉරිඟු ,අලි ගැට පේර ,වට්ටක්කා ,බෝංචි ,1
Asian Language,Tajik,ҷуворӣ ,авакадо ,каду ,лӯбиё ,1
Asian Language,Tamil,சோளம் ,வெண்ணெய் ,பூசணி ,பீன்ஸ் ,1
Asian Language,Telugu,మొక్కజొన్న ,అవోకాడో ,గుమ్మడికాయ ,బీన్స్ ,1
Asian Language,Thai,ข้าวโพด ,อะโวคาโด ,ฟักทอง ,ถั่ว ,1
Asian Language,Urdu,مکئی ,avocado کے ,قددو ,پھلیاں ,1
Asian Language,Uzbek,makkajo'xori ,avokado ,qovoq ,loviya ,1
Asian Language,Vietnamese,ngô ,trái bơ ,quả bí ngô ,đậu ,1
Middle eastern,Arabic,حبوب ذرة ,أفوكادو ,اليقطين ,فاصوليا ,1
Middle eastern,Hebrew,תירס ,אַבוֹקָדוֹ ,דְלַעַת ,שעועית ,1
Middle eastern,Persian,ذرت ,آوکادو ,كدو حلوايي ,لوبیا ,1
Middle eastern,Turkish,Mısır ,avokado ,kabak ,fasulye ,1
African Leanguage,Afrikaans,koring ,avokado ,pampoen ,bone ,1
African Leanguage,Chichewa,chimanga ,peyala ,dzungu ,nyemba ,1
African Leanguage,Hausa,masara ,avocado ,kabewa ,wake ,1
African Leanguage,Igbo,ọka ,ube oyibo ,ugu ,agwa ,1
African Leanguage,Sesotho,poone ,avocado ,mokopu ,linaoa ,1
African Leanguage,Somali,hadhuudh ,avocado ,bocorka ,digir ,1
African Leanguage,Swahili,mahindi ,avocado ,pumpkin ,maharage ,1
African Leanguage,Yoruba,agbado ,piha oyinbo ,elegede ,awọn ewa ,1
African Leanguage,Zulu,ukolweni ,ukwatapheya ,ithanga ,ubhontshisi ,1
Austronesian Language,Cebuano,mais ,avocado ,pumpkin ,beans ,1
Austronesian Language,Filipino,mais ,abukado ,kalabasa ,patani ,1
Austronesian Language,Indonesian,jagung ,alpukat ,labu ,kacang ,1
Austronesian Language,Javanese,jagung ,avocado ,pumpkin ,kacang buncis ,1
Austronesian Language,Malagasy,katsaka ,zavoka ,voatavo ,tsaramaso ,1
Austronesian Language,Malay,jagung ,alpukat ,labu ,kacang ,1
Austronesian Language,Maori,witi ,awhekātō ,paukena ,pīni ,1
Foreign language,Esperanto,grajnojn ,avokado ,kukurbo ,faboj ,1
Foreign language,Haitian Creole,mayi ,zaboka ,joumou ,pwa ,1
Foreign language,Latin,frumentum,avocado ,cucurbita ,fabam ,1
